Clinton	Trump	end_date
45	41	2016-11-07
41	43	2016-11-07
43	42	2016-11-07
45	41	2016-11-07
49	45	2016-11-07
45	40	2016-11-06
46	43	2016-11-06
44	41	2016-11-06
47	43	2016-11-06
49	46	2016-11-06
50	44	2016-11-06
50	44	2016-11-06
48	44	2016-11-06
48	44	2016-11-06
41	43	2016-11-06
43	42	2016-11-06
44	39	2016-11-06
42	39	2016-11-06
45	43	2016-11-06
47	43	2016-11-06
45	41	2016-11-06
49	46	2016-11-06
51	44	2016-11-06
47	41	2016-11-06
45	42	2016-11-05
45	40	2016-11-05
44	40	2016-11-05
48	43	2016-11-05
47	43	2016-11-05
49	45	2016-11-05
43	44	2016-11-05
45	44	2016-11-05
48	44	2016-11-05
49	46	2016-11-05
45	39	2016-11-04
48	44	2016-11-04
48	43	2016-11-04
49	44	2016-11-04
44	44	2016-11-04
46	43	2016-11-04
44	40	2016-11-04
43	39	2016-11-04
49	48	2016-11-04
46	44	2016-11-03
44	43	2016-11-03
45	43	2016-11-03
46	45	2016-11-03
44	39	2016-11-03
44	44	2016-11-03
47	43	2016-11-03
49	45	2016-11-03
44	39	2016-11-03
44	37	2016-11-03
44	44	2016-11-03
45	44	2016-11-03
49	48	2016-11-03
44	39	2016-11-02
42	45	2016-11-02
47	44	2016-11-02
49	46	2016-11-02
45	39	2016-11-02
45	37	2016-11-02
44	44	2016-11-02
44	44	2016-11-02
49	48	2016-11-02
43	40	2016-11-01
46	43	2016-11-01
48	45	2016-11-01
44	44	2016-11-01
47	45	2016-11-01
49	47	2016-11-01
47	44	2016-11-01
45	42	2016-11-01
44	44	2016-11-01
44	44	2016-11-01
49	48	2016-11-01
42	40	2016-10-31
46	46	2016-10-31
48	47	2016-10-31
44	44	2016-10-31
45	44	2016-10-31
45	44	2016-10-31
48	48	2016-10-31
46	43	2016-10-30
42	39	2016-10-30
42	41	2016-10-30
52	47	2016-10-30
51	48	2016-10-30
45	46	2016-10-30
48	47	2016-10-30
45	42	2016-10-30
45	44	2016-10-30
45	43	2016-10-30
49	48	2016-10-30
51	44	2016-10-30
47	41	2016-10-30
42	41	2016-10-29
46	45	2016-10-29
49	47	2016-10-29
44	42	2016-10-29
45	41	2016-10-29
48	48	2016-10-29
43	40	2016-10-28
46	45	2016-10-28
49	46	2016-10-28
45	41	2016-10-28
46	41	2016-10-28
49	47	2016-10-28
43	40	2016-10-27
45	45	2016-10-27
47	45	2016-10-27
49	46	2016-10-27
44	41	2016-10-27
45	42	2016-10-27
49	47	2016-10-27
43	39	2016-10-26
45	44	2016-10-26
48	44	2016-10-26
50	45	2016-10-26
45	34	2016-10-26
43	32	2016-10-26
46	41	2016-10-26
49	46	2016-10-26
43	41	2016-10-26
44	42	2016-10-26
49	47	2016-10-26
43	39	2016-10-25
44	43	2016-10-25
48	42	2016-10-25
51	44	2016-10-25
44	41	2016-10-25
49	44	2016-10-25
42	41	2016-10-25
43	41	2016-10-25
49	47	2016-10-25
44	38	2016-10-24
43	34	2016-10-24
47	37	2016-10-24
49	40	2016-10-24
51	43	2016-10-24
50	38	2016-10-24
53	41	2016-10-24
51	37	2016-10-24
54	41	2016-10-24
49	39	2016-10-24
47	38	2016-10-24
43	37	2016-10-24
42	38	2016-10-24
43	42	2016-10-24
42	41	2016-10-24
43	42	2016-10-24
49	47	2016-10-24
43	38	2016-10-23
50	38	2016-10-23
53	41	2016-10-23
49	44	2016-10-23
51	45	2016-10-23
41	43	2016-10-23
45	40	2016-10-23
41	41	2016-10-23
42	42	2016-10-23
50	44	2016-10-23
46	41	2016-10-23
50	46	2016-10-23
43	37	2016-10-22
50	38	2016-10-22
53	41	2016-10-22
41	43	2016-10-22
42	43	2016-10-22
50	46	2016-10-22
46	40	2016-10-21
43	37	2016-10-21
41	43	2016-10-21
40	42	2016-10-21
42	42	2016-10-21
50	45	2016-10-21
46	40	2016-10-20
42	36	2016-10-20
45	37	2016-10-20
41	43	2016-10-20
49	42	2016-10-20
40	41	2016-10-20
43	41	2016-10-20
50	45	2016-10-20
47	35	2016-10-19
40	43	2016-10-19
40	41	2016-10-19
43	41	2016-10-19
50	46	2016-10-19
47	40	2016-10-18
50	44	2016-10-18
46	36	2016-10-18
42	42	2016-10-18
42	38	2016-10-18
47	43	2016-10-18
40	41	2016-10-18
44	41	2016-10-18
50	46	2016-10-18
45	36	2016-10-17
45	39	2016-10-17
49	42	2016-10-17
50	41	2016-10-17
47	38	2016-10-17
43	39	2016-10-17
42	38	2016-10-17
42	41	2016-10-17
51	36	2016-10-17
51	46	2016-10-17
43	38	2016-10-16
50	38	2016-10-16
53	41	2016-10-16
51	40	2016-10-16
47	38	2016-10-16
43	41	2016-10-16
51	43	2016-10-16
46	40	2016-10-16
50	46	2016-10-16
45	37	2016-10-15
46	41	2016-10-15
42	36	2016-10-15
51	45	2016-10-15
45	37	2016-10-14
46	36	2016-10-14
51	45	2016-10-14
45	36	2016-10-13
41	43	2016-10-13
48	37	2016-10-13
51	41	2016-10-13
47	43	2016-10-13
50	46	2016-10-13
47	39	2016-10-13
50	45	2016-10-13
44	36	2016-10-12
45	38	2016-10-12
49	41	2016-10-12
41	43	2016-10-12
50	45	2016-10-12
42	37	2016-10-11
43	37	2016-10-11
43	39	2016-10-11
50	44	2016-10-11
46	41	2016-10-10
42	37	2016-10-10
44	37	2016-10-10
46	37	2016-10-10
50	40	2016-10-10
44	37	2016-10-10
44	37	2016-10-10
44	39	2016-10-10
50	44	2016-10-10
45	37	2016-10-09
49	38	2016-10-09
45	38	2016-10-09
50	44	2016-10-09
51	44	2016-10-09
46	41	2016-10-09
45	41	2016-10-08
42	38	2016-10-08
45	36	2016-10-08
48	46	2016-10-08
46	36	2016-10-07
48	47	2016-10-07
45	40	2016-10-06
50	44	2016-10-06
45	35	2016-10-06
43	42	2016-10-06
44	42	2016-10-06
48	44	2016-10-06
48	47	2016-10-06
47	35	2016-10-05
41	43	2016-10-05
47	47	2016-10-05
45	37	2016-10-04
41	42	2016-10-04
47	48	2016-10-04
45	38	2016-10-03
42	41	2016-10-03
44	37	2016-10-03
42	36	2016-10-03
47	49	2016-10-03
44	39	2016-10-02
46	39	2016-10-02
42	36	2016-10-02
47	41	2016-10-02
43	40	2016-10-02
50	40	2016-10-02
45	36	2016-10-02
49	43	2016-10-02
45	41	2016-10-02
47	42	2016-10-02
51	45	2016-10-02
50	44	2016-10-02
46	40	2016-10-02
47	49	2016-10-02
45	37	2016-10-01
48	49	2016-10-01
46	36	2016-09-30
48	49	2016-09-30
45	35	2016-09-29
43	42	2016-09-29
43	40	2016-09-29
49	44	2016-09-29
47	49	2016-09-29
44	40	2016-09-28
49	45	2016-09-28
42	38	2016-09-28
42	37	2016-09-28
42	41	2016-09-28
47	49	2016-09-28
44	39	2016-09-27
47	42	2016-09-27
45	41	2016-09-27
41	38	2016-09-27
43	38	2016-09-27
48	48	2016-09-27
49	41	2016-09-27
43	39	2016-09-26
44	38	2016-09-26
42	38	2016-09-26
47	48	2016-09-26
42	39	2016-09-25
43	43	2016-09-25
46	42	2016-09-25
49	46	2016-09-25
44	43	2016-09-25
47	46	2016-09-25
51	44	2016-09-25
45	40	2016-09-25
48	47	2016-09-25
44	42	2016-09-24
38	39	2016-09-24
46	46	2016-09-24
41	43	2016-09-24
49	46	2016-09-24
48	47	2016-09-23
46	44	2016-09-22
49	47	2016-09-22
45	43	2016-09-22
49	46	2016-09-22
39	44	2016-09-21
49	46	2016-09-21
48	41	2016-09-20
45	39	2016-09-20
48	47	2016-09-20
43	37	2016-09-19
48	41	2016-09-19
45	39	2016-09-19
50	44	2016-09-19
39	39	2016-09-19
37	39	2016-09-19
49	47	2016-09-19
48	47	2016-09-18
50	45	2016-09-18
45	40	2016-09-18
47	48	2016-09-17
46	42	2016-09-16
42	40	2016-09-16
46	41	2016-09-16
47	47	2016-09-16
47	48	2016-09-15
41	40	2016-09-14
45	46	2016-09-14
47	48	2016-09-14
40	42	2016-09-13
46	44	2016-09-13
42	42	2016-09-13
48	43	2016-09-13
41	39	2016-09-13
47	48	2016-09-13
40	39	2016-09-12
39	39	2016-09-12
46	49	2016-09-12
46	49	2016-09-11
45	49	2016-09-10
46	49	2016-09-09
44	43	2016-09-08
41	39	2016-09-08
46	41	2016-09-08
51	43	2016-09-08
46	48	2016-09-08
43	39	2016-09-07
47	48	2016-09-07
47	47	2016-09-06
40	38	2016-09-05
40	38	2016-09-05
48	46	2016-09-05
43	45	2016-09-04
48	49	2016-09-04
44	41	2016-09-04
49	47	2016-09-04
49	46	2016-09-03
49	45	2016-09-02
42	40	2016-09-01
49	45	2016-09-01
44	43	2016-09-01
39	39	2016-09-01
48	46	2016-08-31
39	40	2016-08-30
49	46	2016-08-30
40	39	2016-08-29
40	38	2016-08-29
48	41	2016-08-29
42	35	2016-08-29
50	47	2016-08-29
42	37	2016-08-28
48	43	2016-08-28
46	39	2016-08-28
49	42	2016-08-28
50	47	2016-08-28
50	47	2016-08-27
42	38	2016-08-24
42	35	2016-08-24
39	36	2016-08-24
48	49	2016-08-24
51	41	2016-08-24
45	38	2016-08-24
48	48	2016-08-23
48	47	2016-08-22
48	47	2016-08-21
48	48	2016-08-20
41	36	2016-08-17
39	35	2016-08-17
50	46	2016-08-17
41	39	2016-08-16
51	44	2016-08-16
50	40	2016-08-15
45	37	2016-08-15
51	44	2016-08-15
51	45	2016-08-14
38	36	2016-08-13
49	46	2016-08-13
43	40	2016-08-10
42	36	2016-08-10
40	35	2016-08-10
50	45	2016-08-10
48	46	2016-08-09
44	40	2016-08-08
50	44	2016-08-08
49	45	2016-08-08
50	37	2016-08-07
49	44	2016-08-07
50	43	2016-08-06
51	44	2016-08-04
47	39	2016-08-04
50	44	2016-08-04
43	39	2016-08-03
42	38	2016-08-03
50	44	2016-08-03
44	40	2016-08-02
49	46	2016-08-02
45	40	2016-08-01
49	46	2016-07-31
46	41	2016-07-30
50	45	2016-07-30
46	31	2016-07-29
40	35	2016-07-29
37	37	2016-07-29
43	42	2016-07-27
41	44	2016-07-24
39	34	2016-07-22
42	43	2016-07-19
43	40	2016-07-18
50	43	2016-07-18
44	41	2016-07-16
37	44	2016-07-13
41	29	2016-07-09
38	40	2016-07-05
40	42	2016-07-05
40	36	2016-07-05
39	43	2016-06-29
46	40	2016-06-29
39	35	2016-06-29
45	41	2016-06-28
48	44	2016-06-28
48	37	2016-06-28
44	39	2016-06-21
44	39	2016-06-15
49	37	2016-06-13
54	36	2016-06-13
